brick_id,x,y,z,length,width,height,orientation
1,0,0,0,200,100,100,X-aligned
2,0,0,100,200,100,100,X-aligned
3,0,0,200,200,100,100,X-aligned
4,0,0,300,200,100,100,X-aligned
5,0,0,400,200,100,100,X-aligned
6,0,0,500,200,100,100,X-aligned
7,0,0,600,200,100,100,X-aligned
8,0,0,700,200,100,100,X-aligned
9,0,0,800,200,100,100,X-aligned
10,0,0,900,200,100,100,X-aligned
11,0,0,1000,200,100,100,X-aligned
12,0,0,1100,200,100,100,X-aligned
13,0,0,1200,200,100,100,X-aligned
14,0,0,1300,200,100,100,X-aligned
15,0,0,1400,200,100,100,X-aligned
16,0,0,1500,200,100,100,X-aligned
17,0,0,1600,200,100,100,X-aligned
18,0,0,1700,200,100,100,X-aligned
19,0,0,1800,200,100,100,X-aligned
20,0,0,1900,200,100,100,X-aligned
21,0,0,2000,200,100,100,X-aligned
22,0,0,2100,200,100,100,X-aligned
23,0,0,2200,200,100,100,X-aligned
24,0,0,2300,200,100,100,X-aligned
25,0,0,2400,200,100,100,X-aligned
26,0,0,2500,200,100,100,X-aligned
27,0,0,2600,200,100,100,X-aligned
28,0,0,2700,200,100,100,X-aligned
29,0,0,2800,200,100,100,X-aligned
30,0,0,2900,200,100,100,X-aligned
31,0,0,3000,200,100,100,X-aligned
32,0,0,3100,200,100,100,X-aligned
33,0,0,3200,200,100,100,X-aligned
34,0,0,3300,200,100,100,X-aligned
35,0,0,3400,200,100,100,X-aligned
36,0,0,3500,200,100,100,X-aligned
37,0,0,3600,200,100,100,X-aligned
38,0,0,3700,200,100,100,X-aligned
39,0,0,3800,200,100,100,X-aligned
40,0,0,3900,200,100,100,X-aligned
41,0,0,4000,200,100,100,X-aligned
42,0,0,4100,200,100,100,X-aligned
43,0,0,4200,200,100,100,X-aligned
44,0,0,4300,200,100,100,X-aligned
45,0,0,4400,200,100,100,X-aligned
46,0,0,4500,200,100,100,X-aligned
47,0,0,4600,200,100,100,X-aligned
48,0,0,4700,200,100,100,X-aligned
49,0,0,4800,200,100,100,X-aligned
50,0,0,4900,200,100,100,X-aligned
51,0,0,5000,200,100,100,X-aligned
52,0,0,5100,200,100,100,X-aligned
53,0,0,5200,200,100,100,X-aligned
54,0,0,5300,200,100,100,X-aligned
55,0,0,5400,200,100,100,X-aligned
56,0,0,5500,200,100,100,X-aligned
57,0,100,0,200,100,100,X-aligned
58,0,100,100,200,100,100,X-aligned
59,0,100,200,200,100,100,X-aligned
60,0,100,300,200,100,100,X-aligned
61,0,100,400,200,100,100,X-aligned
62,0,100,500,200,100,100,X-aligned
63,0,100,600,200,100,100,X-aligned
64,0,100,700,200,100,100,X-aligned
65,0,100,800,200,100,100,X-aligned
66,0,100,900,200,100,100,X-aligned
67,0,100,1000,200,100,100,X-aligned
68,0,100,1100,200,100,100,X-aligned
69,0,100,1200,200,100,100,X-aligned
70,0,100,1300,200,100,100,X-aligned
71,0,100,1400,200,100,100,X-aligned
72,0,100,1500,200,100,100,X-aligned
73,0,100,1600,200,100,100,X-aligned
74,0,100,1700,200,100,100,X-aligned
75,0,100,1800,200,100,100,X-aligned
76,0,100,1900,200,100,100,X-aligned
77,0,100,2000,200,100,100,X-aligned
78,0,100,2100,200,100,100,X-aligned
79,0,100,2200,200,100,100,X-aligned
80,0,100,2300,200,100,100,X-aligned
81,0,100,2400,200,100,100,X-aligned
82,0,100,2500,200,100,100,X-aligned
83,0,100,2600,200,100,100,X-aligned
84,0,100,2700,200,100,100,X-aligned
85,0,100,2800,200,100,100,X-aligned
86,0,100,2900,200,100,100,X-aligned
87,0,100,3000,200,100,100,X-aligned
88,0,100,3100,200,100,100,X-aligned
89,0,100,3200,200,100,100,X-aligned
90,0,100,3300,200,100,100,X-aligned
91,0,100,3400,200,100,100,X-aligned
92,0,100,3500,200,100,100,X-aligned
93,0,100,3600,200,100,100,X-aligned
94,0,100,3700,200,100,100,X-aligned
95,0,100,3800,200,100,100,X-aligned
96,0,100,3900,200,100,100,X-aligned
97,0,100,4000,200,100,100,X-aligned
98,0,100,4100,200,100,100,X-aligned
99,0,100,4200,200,100,100,X-aligned
100,0,100,4300,200,100,100,X-aligned
101,0,100,4400,200,100,100,X-aligned
102,0,100,4500,200,100,100,X-aligned
103,0,100,4600,200,100,100,X-aligned
104,0,100,4700,200,100,100,X-aligned
105,0,100,4800,200,100,100,X-aligned
106,0,100,4900,200,100,100,X-aligned
107,0,100,5000,200,100,100,X-aligned
108,0,100,5100,200,100,100,X-aligned
109,0,100,5200,200,100,100,X-aligned
110,0,100,5300,200,100,100,X-aligned
111,0,100,5400,200,100,100,X-aligned
112,0,100,5500,200,100,100,X-aligned
113,0,200,0,200,100,100,X-aligned
114,0,200,100,200,100,100,X-aligned
115,0,200,200,200,100,100,X-aligned
116,0,200,300,200,100,100,X-aligned
117,0,200,400,200,100,100,X-aligned
118,0,200,500,200,100,100,X-aligned
119,0,200,600,200,100,100,X-aligned
120,0,200,700,200,100,100,X-aligned
121,0,200,800,200,100,100,X-aligned
122,0,200,900,200,100,100,X-aligned
123,0,200,1000,200,100,100,X-aligned
124,0,200,1100,200,100,100,X-aligned
125,0,200,1200,200,100,100,X-aligned
126,0,200,1300,200,100,100,X-aligned
127,0,200,1400,200,100,100,X-aligned
128,0,200,1500,200,100,100,X-aligned
129,0,200,1600,200,100,100,X-aligned
130,0,200,1700,200,100,100,X-aligned
131,0,200,1800,200,100,100,X-aligned
132,0,200,1900,200,100,100,X-aligned
133,0,200,2000,200,100,100,X-aligned
134,0,200,2100,200,100,100,X-aligned
135,0,200,2200,200,100,100,X-aligned
136,0,200,2300,200,100,100,X-aligned
137,0,200,2400,200,100,100,X-aligned
138,0,200,2500,200,100,100,X-aligned
139,0,200,2600,200,100,100,X-aligned
140,0,200,2700,200,100,100,X-aligned
141,0,200,2800,200,100,100,X-aligned
142,0,200,2900,200,100,100,X-aligned
143,0,200,3000,200,100,100,X-aligned
144,0,200,3100,200,100,100,X-aligned
145,0,200,3200,200,100,100,X-aligned
146,0,200,3300,200,100,100,X-aligned
147,0,200,3400,200,100,100,X-aligned
148,0,200,3500,200,100,100,X-aligned
149,0,200,3600,200,100,100,X-aligned
150,0,200,3700,200,100,100,X-aligned
151,0,200,3800,200,100,100,X-aligned
152,0,200,3900,200,100,100,X-aligned
153,0,200,4000,200,100,100,X-aligned
154,0,200,4100,200,100,100,X-aligned
155,0,200,4200,200,100,100,X-aligned
156,0,200,4300,200,100,100,X-aligned
157,0,200,4400,200,100,100,X-aligned
158,0,200,4500,200,100,100,X-aligned
159,0,200,4600,200,100,100,X-aligned
160,0,200,4700,200,100,100,X-aligned
161,0,200,4800,200,100,100,X-aligned
162,0,200,4900,200,100,100,X-aligned
163,0,200,5000,200,100,100,X-aligned
164,0,200,5100,200,100,100,X-aligned
165,0,200,5200,200,100,100,X-aligned
166,0,200,5300,200,100,100,X-aligned
167,0,200,5400,200,100,100,X-aligned
168,0,200,5500,200,100,100,X-aligned
169,0,300,0,200,100,100,X-aligned
170,0,300,100,200,100,100,X-aligned
171,0,300,200,200,100,100,X-aligned
172,0,300,300,200,100,100,X-aligned
173,0,300,400,200,100,100,X-aligned
174,0,300,500,200,100,100,X-aligned
175,0,300,600,200,100,100,X-aligned
176,0,300,700,200,100,100,X-aligned
177,0,300,800,200,100,100,X-aligned
178,0,300,900,200,100,100,X-aligned
179,0,300,1000,200,100,100,X-aligned
180,0,300,1100,200,100,100,X-aligned
181,0,300,1200,200,100,100,X-aligned
182,0,300,1300,200,100,100,X-aligned
183,0,300,1400,200,100,100,X-aligned
184,0,300,1500,200,100,100,X-aligned
185,0,300,1600,200,100,100,X-aligned
186,0,300,1700,200,100,100,X-aligned
187,0,300,1800,200,100,100,X-aligned
188,0,300,1900,200,100,100,X-aligned
189,0,300,2000,200,100,100,X-aligned
190,0,300,2100,200,100,100,X-aligned
191,0,300,2200,200,100,100,X-aligned
192,0,300,2300,200,100,100,X-aligned
193,0,300,2400,200,100,100,X-aligned
194,0,300,2500,200,100,100,X-aligned
195,0,300,2600,200,100,100,X-aligned
196,0,300,2700,200,100,100,X-aligned
197,0,300,2800,200,100,100,X-aligned
198,0,300,2900,200,100,100,X-aligned
199,0,300,3000,200,100,100,X-aligned
200,0,300,3100,200,100,100,X-aligned
201,0,300,3200,200,100,100,X-aligned
202,0,300,3300,200,100,100,X-aligned
203,0,300,3400,200,100,100,X-aligned
